id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
260257;580781;01/01/2020;quarta-feira;22:50:00;CE;116;1;FORTALEZA;Sim;Ingestão de Álcool;1;Capotamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Sim;464429;Automóvel;PEUGEOT/207HB XR/207HB XR;2012;Condutor;Lesões Leves;25;Masculino;0;1;0;0;-376.159.894;-3.851.900.662;SPRF-CE;DEL01-CE;UOP02-DEL01-CE
260281;581515;02/01/2020;quinta-feira;06:10:00;CE;116;4;FORTALEZA;Sim;Defeito Mecânico no Veículo;1;Danos eventuais;Sem Vítimas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Sim;464718;Caminhão;VOLVO/VM 270 6X2R/VM 270 6X2R;2013;Condutor;Ileso;27;Masculino;1;0;0;0;-37.867.209;-385.114.568;SPRF-CE;DEL01-CE;UOP02-DEL01-CE
260755;581933;04/01/2020;sábado;08:45:00;CE;116;13,9;FORTALEZA;Sim;Não guardar distância de segurança;2;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Sim;465290;Utilitário;I/TOYOTA HILUX SWSRXA4FD/TOYOTA HILUX SWSRXA4FD;2018;Condutor;Ileso;51;Masculino;1;0;0;0;-386.088.501;-3.849.715.296;SPRF-CE;DEL01-CE;UOP02-DEL01-CE
260755;581937;04/01/2020;sábado;08:45:00;CE;116;13,9;FORTALEZA;Sim;Não guardar distância de segurança;2;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Sim;465292;Automóvel;FIAT/UNO VIVACE 1.0/UNO VIVACE 1.0;2014;Condutor;Ileso;29;Feminino;1;0;0;0;-386.088.501;-3.849.715.296;SPRF-CE;DEL01-CE;UOP02-DEL01-CE
260755;581938;04/01/2020;sábado;08:45:00;CE;116;13,9;FORTALEZA;Sim;Não guardar distância de segurança;2;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Sim;465292;Automóvel;FIAT/UNO VIVACE 1.0/UNO VIVACE 1.0;2014;Passageiro;Ileso;29;Feminino;1;0;0;0;-386.088.501;-3.849.715.296;SPRF-CE;DEL01-CE;UOP02-DEL01-CE
260755;581935;04/01/2020;sábado;08:45:00;CE;116;13,9;FORTALEZA;Sim;Não guardar distância de segurança;2;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Sim;465291;Automóvel;I/FIAT SIENA EL FLEX/FIAT SIENA EL FLEX;2009;Condutor;Lesões Leves;43;Masculino;0;1;0;0;-386.088.501;-3.849.715.296;SPRF-CE;DEL01-CE;UOP02-DEL01-CE
260755;581933;04/01/2020;sábado;08:45:00;CE;116;13,9;FORTALEZA;Sim;Não guardar distância de segurança;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Sim;465290;Utilitário;I/TOYOTA HILUX SWSRXA4FD/TOYOTA HILUX SWSRXA4FD;2018;Condutor;Ileso;51;Masculino;1;0;0;0;-386.088.501;-3.849.715.296;SPRF-CE;DEL01-CE;UOP02-DEL01-CE
260755;581937;04/01/2020;sábado;08:45:00;CE;116;13,9;FORTALEZA;Sim;Não guardar distância de segurança;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Sim;465292;Automóvel;FIAT/UNO VIVACE 1.0/UNO VIVACE 1.0;2014;Condutor;Ileso;29;Feminino;1;0;0;0;-386.088.501;-3.849.715.296;SPRF-CE;DEL01-CE;UOP02-DEL01-CE
260755;581938;04/01/2020;sábado;08:45:00;CE;116;13,9;FORTALEZA;Sim;Não guardar distância de segurança;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Sim;465292;Automóvel;FIAT/UNO VIVACE 1.0/UNO VIVACE 1.0;2014;Passageiro;Ileso;29;Feminino;1;0;0;0;-386.088.501;-3.849.715.296;SPRF-CE;DEL01-CE;UOP02-DEL01-CE
260755;581935;04/01/2020;sábado;08:45:00;CE;116;13,9;FORTALEZA;Sim;Não guardar distância de segurança;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Sim;465291;Automóvel;I/FIAT SIENA EL FLEX/FIAT SIENA EL FLEX;2009;Condutor;Lesões Leves;43;Masculino;0;1;0;0;-386.088.501;-3.849.715.296;SPRF-CE;DEL01-CE;UOP02-DEL01-CE
